,DATE,RATE,VOLUME,VNINBR,VNINTR,VNIRYY,FEDFUNDS,USDVND,DJI,VNIMP,VNEXP,US10Y,USIRYY
0,2023-08-01,1224.05,24110000.0,3.22,4.5,2.96,5.33,24060.0,34721.92,29320000000.0,32760000000.0,4.106,3.7
1,2023-07-01,1222.9,19110000.0,3.91,4.5,2.06,5.12,23680.0,35559.54,27000000000.0,30070000000.0,3.967,3.2
2,2023-06-01,1120.18,19850000.0,4.73,4.5,2.0,5.08,23575.0,34407.61,26360000000.0,29450000000.0,3.841,3.0
3,2023-05-01,1075.17,14530000.0,5.62,5.0,2.43,5.06,23485.0,32908.28,26810000000.0,28040000000.0,3.646,4.1
4,2023-04-01,1049.12,13090000.0,6.21,5.5,2.81,4.83,23450.0,34098.17,25210000000.0,27860000000.0,3.433,4.9
5,2023-03-01,1064.64,12290000.0,6.43,6.0,3.35,4.65,23450.0,33274.16,28320000000.0,29710000000.0,3.473,5.0
6,2023-02-01,1024.68,11930000.0,7.62,6.0,4.31,4.57,23740.0,32656.71,23250000000.0,26050000000.0,3.928,6.0
7,2023-01-01,1111.18,9740000.0,8.78,6.0,4.89,4.33,23445.0,34086.05,23040000000.0,23560000000.0,3.51,6.4
8,2022-12-01,1007.09,18770000.0,8.5,6.0,4.55,4.1,23610.0,33147.26,27290000000.0,29660000000.0,3.879,6.5
9,2022-11-01,1048.42,16460000.0,8.18,6.0,4.37,3.78,24630.0,34589.77,28400000000.0,29030000000.0,3.611,7.1
10,2022-10-01,1027.94,12480000.0,8.0,6.0,4.3,3.08,24840.0,32732.96,27900000000.0,30370000000.0,4.05,7.7
11,2022-09-01,1132.11,11200000.0,6.18,5.0,3.94,2.56,23855.0,28725.52,28390000000.0,29820000000.0,3.829,8.2
12,2022-08-01,1280.51,15290000.0,5.19,4.0,2.89,2.33,23450.0,31510.44,31060000000.0,34920000000.0,3.196,8.3
13,2022-07-01,1206.33,11090000.0,3.9,4.0,3.14,1.68,23335.0,32845.14,30530000000.0,30610000000.0,2.658,8.5
14,2022-06-01,1197.6,12880000.0,2.4,4.0,3.37,1.21,23255.0,30775.44,32370000000.0,32840000000.000004,3.017,9.1
15,2022-05-01,1292.68,11560000.0,2.46,4.0,2.86,0.77,23185.0,32990.13,32620000000.0,30920000000.0,2.849,8.6
16,2022-04-01,1366.8,14450000.0,2.38,4.0,2.64,0.33,22962.0,32977.22,32470000000.0,33320000000.0,2.938,8.3
17,2022-03-01,1492.15,19340000.0,2.33,4.0,2.41,0.2,22838.0,34678.36,32660000000.0,34710000000.0,2.345,8.5
18,2022-02-01,1490.13,11910000.0,2.51,4.0,1.42,0.08,22805.0,33892.61,25380000000.0,23420000000.0,1.822,7.9
19,2022-01-01,1478.96,17280000.0,2.4,4.0,1.94,0.08,22645.0,35131.87,29450000000.0,30840000000.0,1.784,7.5
20,2021-12-01,1498.28,20950000.0,2.37,4.0,1.81,0.08,22825.0,36338.31,31620000000.0,34590000000.0,1.512,7.0
21,2021-11-01,1478.44,24070000.0,1.58,4.0,2.1,0.08,22688.0,34483.73,30610000000.0,31870000000.0,1.456,6.8
22,2021-10-01,1444.27,15960000.0,1.56,4.0,1.77,0.08,22750.0,35819.57,26130000000.0,28870000000.0,1.561,6.2
23,2021-09-01,1342.06,14700000.0,1.54,4.0,2.06,0.08,22750.0,33843.93,26670000000.0,27030000000.0,1.492,5.4
24,2021-08-01,1331.47,15870000.0,1.58,4.0,2.82,0.09,22775.0,35360.74,27340000000.0,27230000000.0,1.307,5.3
25,2021-07-01,1310.05,13270000.0,1.66,4.0,2.64,0.1,22950.0,34935.48,29110000000.0,27860000000.0,1.226,5.4
26,2021-06-01,1408.55,16570000.0,1.73,4.0,2.4,0.08,23014.0,34502.52,27660000000.0,27200000000.0,1.468,5.4
